protocol,model,model_label,threshold_idr,cost_ratio_false_safe,event_count,true_exceed_rate,false_safe_rate,false_unsafe_rate,expected_loss
event-disjoint target,xgb_direct,XGB direct,0.005,1,187,0.09959893048128342,0.004478609625668449,0.0820855614973262,0.08656417112299465
event-disjoint target,xgb_direct,XGB direct,0.005,2,187,0.09959893048128342,0.004478609625668449,0.0820855614973262,0.0910427807486631
event-disjoint target,xgb_direct,XGB direct,0.005,5,187,0.09959893048128342,0.004478609625668449,0.0820855614973262,0.10447860962566843
event-disjoint target,lgbm_direct,LGBM direct,0.005,10,187,0.09959893048128342,0.002005347593582888,0.10337566844919788,0.12342914438502676
event-disjoint target,hgb_direct,HGB direct,0.005,25,187,0.09959893048128342,0.0014037433155080212,0.11627673796791443,0.15137032085561497
event-disjoint target,hgb_direct,HGB direct,0.005,50,187,0.09959893048128342,0.0014037433155080212,0.11627673796791443,0.1864639037433155
event-disjoint target,hgb_direct,HGB direct,0.005,100,187,0.09959893048128342,0.0014037433155080212,0.11627673796791443,0.25665106951871663
event-disjoint target,xgb_direct,XGB direct,0.0075,1,187,0.053475935828877004,0.009157754010695187,0.03245320855614973,0.04161096256684492
event-disjoint target,xgb_direct,XGB direct,0.0075,2,187,0.053475935828877004,0.009157754010695187,0.03245320855614973,0.0507687165775401
event-disjoint target,lgbm_direct,LGBM direct,0.0075,5,187,0.053475935828877004,0.0035427807486631013,0.04766042780748663,0.06537433155080215
event-disjoint target,hgb_direct,HGB direct,0.0075,10,187,0.053475935828877004,0.002406417112299465,0.056183155080213903,0.08024732620320857
event-disjoint target,hgb_direct,HGB direct,0.0075,25,187,0.053475935828877004,0.002406417112299465,0.056183155080213903,0.11634358288770054
event-disjoint target,hgb_direct,HGB direct,0.0075,50,187,0.053475935828877004,0.002406417112299465,0.056183155080213903,0.17650401069518717
event-disjoint target,hgb_direct,HGB direct,0.0075,100,187,0.053475935828877004,0.002406417112299465,0.056183155080213903,0.2968248663101604
event-disjoint target,xgb_direct,XGB direct,0.01,1,187,0.03074866310160428,0.010594919786096257,0.01818181818181818,0.028776737967914436
event-disjoint target,hgb_direct,HGB direct,0.01,2,187,0.03074866310160428,0.006985294117647058,0.02242647058823529,0.036397058823529414
event-disjoint target,hgb_direct,HGB direct,0.01,5,187,0.03074866310160428,0.006985294117647058,0.02242647058823529,0.05735294117647058
event-disjoint target,hgb_direct,HGB direct,0.01,10,187,0.03074866310160428,0.006985294117647058,0.02242647058823529,0.09227941176470589
event-disjoint target,hgb_direct,HGB direct,0.01,25,187,0.03074866310160428,0.006985294117647058,0.02242647058823529,0.19705882352941176
event-disjoint target,ridge_direct,Ridge direct,0.01,50,187,0.03074866310160428,0.002005347593582888,0.26754679144385024,0.36781417112299464
event-disjoint target,ridge_direct,Ridge direct,0.01,100,187,0.03074866310160428,0.002005347593582888,0.26754679144385024,0.46808155080213903
event-disjoint target,xgb_direct,XGB direct,0.015,1,187,0.0053475935828877,0.002573529411764706,0.014171122994652409,0.016744652406417114
event-disjoint target,xgb_direct,XGB direct,0.015,2,187,0.0053475935828877,0.002573529411764706,0.014171122994652409,0.01931818181818182
event-disjoint target,xgb_direct,XGB direct,0.015,5,187,0.0053475935828877,0.002573529411764706,0.014171122994652409,0.02703877005347594
event-disjoint target,xgb_direct,XGB direct,0.015,10,187,0.0053475935828877,0.002573529411764706,0.014171122994652409,0.03990641711229947
event-disjoint target,xgb_direct,XGB direct,0.015,25,187,0.0053475935828877,0.002573529411764706,0.014171122994652409,0.07850935828877005
event-disjoint target,xgb_direct,XGB direct,0.015,50,187,0.0053475935828877,0.002573529411764706,0.014171122994652409,0.1428475935828877
event-disjoint target,ridge_direct,Ridge direct,0.015,100,187,0.0053475935828877,0.0002339572192513369,0.19117647058823528,0.21457219251336898
event-disjoint target,lgbm_direct,LGBM direct,0.02,1,187,0.0,0.0,0.008355614973262033,0.008355614973262033
event-disjoint target,lgbm_direct,LGBM direct,0.02,2,187,0.0,0.0,0.008355614973262033,0.008355614973262033
event-disjoint target,lgbm_direct,LGBM direct,0.02,5,187,0.0,0.0,0.008355614973262033,0.008355614973262033
event-disjoint target,lgbm_direct,LGBM direct,0.02,10,187,0.0,0.0,0.008355614973262033,0.008355614973262033
event-disjoint target,lgbm_direct,LGBM direct,0.02,25,187,0.0,0.0,0.008355614973262033,0.008355614973262033
event-disjoint target,lgbm_direct,LGBM direct,0.02,50,187,0.0,0.0,0.008355614973262033,0.008355614973262033
event-disjoint target,lgbm_direct,LGBM direct,0.02,100,187,0.0,0.0,0.008355614973262033,0.008355614973262033
event-disjoint target,xgb_direct,XGB direct,0.03,1,187,0.0,0.0,0.00033422459893048126,0.00033422459893048126
event-disjoint target,xgb_direct,XGB direct,0.03,2,187,0.0,0.0,0.00033422459893048126,0.00033422459893048126
event-disjoint target,xgb_direct,XGB direct,0.03,5,187,0.0,0.0,0.00033422459893048126,0.00033422459893048126
event-disjoint target,xgb_direct,XGB direct,0.03,10,187,0.0,0.0,0.00033422459893048126,0.00033422459893048126
event-disjoint target,xgb_direct,XGB direct,0.03,25,187,0.0,0.0,0.00033422459893048126,0.00033422459893048126
event-disjoint target,xgb_direct,XGB direct,0.03,50,187,0.0,0.0,0.00033422459893048126,0.00033422459893048126
event-disjoint target,xgb_direct,XGB direct,0.03,100,187,0.0,0.0,0.00033422459893048126,0.00033422459893048126
event-disjoint target,hgb_direct,HGB direct,0.04,1,187,0.0,0.0,0.0,0.0
event-disjoint target,hgb_direct,HGB direct,0.04,2,187,0.0,0.0,0.0,0.0
event-disjoint target,hgb_direct,HGB direct,0.04,5,187,0.0,0.0,0.0,0.0
event-disjoint target,hgb_direct,HGB direct,0.04,10,187,0.0,0.0,0.0,0.0
event-disjoint target,hgb_direct,HGB direct,0.04,25,187,0.0,0.0,0.0,0.0
event-disjoint target,hgb_direct,HGB direct,0.04,50,187,0.0,0.0,0.0,0.0
event-disjoint target,hgb_direct,HGB direct,0.04,100,187,0.0,0.0,0.0,0.0
main event-held-out,xgb_direct,XGB direct,0.005,1,186,0.1586021505376344,0.0038978494623655917,0.0769489247311828,0.08084677419354838
main event-held-out,xgb_direct,XGB direct,0.005,2,186,0.1586021505376344,0.0038978494623655917,0.0769489247311828,0.08474462365591398
main event-held-out,xgb_direct,XGB direct,0.005,5,186,0.1586021505376344,0.0038978494623655917,0.0769489247311828,0.09643817204301075
main event-held-out,lgbm_direct,LGBM direct,0.005,10,186,0.1586021505376344,0.00228494623655914,0.09065860215053764,0.11350806451612902
main event-held-out,lgbm_direct,LGBM direct,0.005,25,186,0.1586021505376344,0.00228494623655914,0.09065860215053764,0.14778225806451614
main event-held-out,lgbm_direct,LGBM direct,0.005,50,186,0.1586021505376344,0.00228494623655914,0.09065860215053764,0.2049059139784946
main event-held-out,scratch_mlp,MLP scratch,0.005,100,186,0.1586021505376344,0.0010416666666666669,0.19395161290322582,0.29811827956989245
main event-held-out,xgb_direct,XGB direct,0.0075,1,186,0.08870967741935484,0.006182795698924731,0.05023521505376344,0.05641801075268817
main event-held-out,xgb_direct,XGB direct,0.0075,2,186,0.08870967741935484,0.006182795698924731,0.05023521505376344,0.06260080645161291
main event-held-out,lgbm_direct,LGBM direct,0.0075,5,186,0.08870967741935484,0.004166666666666667,0.058198924731182794,0.07903225806451612
main event-held-out,lgbm_direct,LGBM direct,0.0075,10,186,0.08870967741935484,0.004166666666666667,0.058198924731182794,0.09986559139784948
main event-held-out,lgbm_direct,LGBM direct,0.0075,25,186,0.08870967741935484,0.004166666666666667,0.058198924731182794,0.16236559139784945
main event-held-out,scratch_mlp,MLP scratch,0.0075,50,186,0.08870967741935484,0.0019825268817204303,0.1463037634408602,0.2454301075268817
main event-held-out,scratch_mlp,MLP scratch,0.0075,100,186,0.08870967741935484,0.0019825268817204303,0.1463037634408602,0.34455645161290327
main event-held-out,xgb_direct,XGB direct,0.01,1,186,0.051075268817204304,0.005006720430107527,0.046236559139784944,0.051243279569892476
main event-held-out,xgb_direct,XGB direct,0.01,2,186,0.051075268817204304,0.005006720430107527,0.046236559139784944,0.056249999999999994
main event-held-out,xgb_direct,XGB direct,0.01,5,186,0.051075268817204304,0.005006720430107527,0.046236559139784944,0.07127016129032258
main event-held-out,lgbm_direct,LGBM direct,0.01,10,186,0.051075268817204304,0.0032258064516129037,0.05537634408602151,0.08763440860215053
main event-held-out,lgbm_direct,LGBM direct,0.01,25,186,0.051075268817204304,0.0032258064516129037,0.05537634408602151,0.13602150537634408
main event-held-out,lgbm_direct,LGBM direct,0.01,50,186,0.051075268817204304,0.0032258064516129037,0.05537634408602151,0.21666666666666665
main event-held-out,ridge_direct,Ridge direct,0.01,100,186,0.051075268817204304,0.002856182795698925,0.07405913978494624,0.35967741935483877
main event-held-out,xgb_direct,XGB direct,0.015,1,186,0.015793010752688172,0.0033938172043010756,0.034509408602150536,0.03790322580645162
main event-held-out,xgb_direct,XGB direct,0.015,2,186,0.015793010752688172,0.0033938172043010756,0.034509408602150536,0.04129704301075268
main event-held-out,lgbm_direct,LGBM direct,0.015,5,186,0.015793010752688172,0.0016801075268817205,0.0394489247311828,0.04784946236559139
main event-held-out,lgbm_direct,LGBM direct,0.015,10,186,0.015793010752688172,0.0016801075268817205,0.0394489247311828,0.05625
main event-held-out,ridge_direct,Ridge direct,0.015,25,186,0.015793010752688172,0.0003024193548387097,0.06448252688172043,0.07204301075268818
main event-held-out,ridge_direct,Ridge direct,0.015,50,186,0.015793010752688172,0.0003024193548387097,0.06448252688172043,0.07960349462365592
main event-held-out,ridge_direct,Ridge direct,0.015,100,186,0.015793010752688172,0.0003024193548387097,0.06448252688172043,0.09472446236559139
main event-held-out,hgb_direct,HGB direct,0.02,1,186,0.005376344086021506,0.001646505376344086,0.013844086021505378,0.015490591397849463
main event-held-out,hgb_direct,HGB direct,0.02,2,186,0.005376344086021506,0.001646505376344086,0.013844086021505378,0.01713709677419355
main event-held-out,lgbm_direct,LGBM direct,0.02,5,186,0.005376344086021506,0.0015120967741935483,0.014381720430107528,0.02194220430107527
main event-held-out,lgbm_direct,LGBM direct,0.02,10,186,0.005376344086021506,0.0015120967741935483,0.014381720430107528,0.02950268817204301
main event-held-out,lgbm_direct,LGBM direct,0.02,25,186,0.005376344086021506,0.0015120967741935483,0.014381720430107528,0.05218413978494623
main event-held-out,ridge_direct,Ridge direct,0.02,50,186,0.005376344086021506,0.0,0.05231854838709677,0.05231854838709677
main event-held-out,ridge_direct,Ridge direct,0.02,100,186,0.005376344086021506,0.0,0.05231854838709677,0.05231854838709677
main event-held-out,lgbm_direct,LGBM direct,0.03,1,186,0.0013440860215053765,0.0012096774193548388,0.00114247311827957,0.0023521505376344087
main event-held-out,hgb_direct,HGB direct,0.03,2,186,0.0013440860215053765,0.0009408602150537634,0.001646505376344086,0.0035282258064516124
main event-held-out,hgb_direct,HGB direct,0.03,5,186,0.0013440860215053765,0.0009408602150537634,0.001646505376344086,0.006350806451612903
main event-held-out,hgb_direct,HGB direct,0.03,10,186,0.0013440860215053765,0.0009408602150537634,0.001646505376344086,0.011055107526881722
main event-held-out,xgb_direct,XGB direct,0.03,25,186,0.0013440860215053765,0.0008064516129032258,0.004838709677419354,0.025
main event-held-out,pretrained_finetune,MLP finetune,0.03,50,186,0.0013440860215053765,0.0,0.02842741935483871,0.02842741935483871
main event-held-out,pretrained_finetune,MLP finetune,0.03,100,186,0.0013440860215053765,0.0,0.02842741935483871,0.02842741935483871
main event-held-out,hgb_direct,HGB direct,0.04,1,186,0.0003360215053763441,0.0003360215053763441,0.0,0.0003360215053763441
main event-held-out,hgb_direct,HGB direct,0.04,2,186,0.0003360215053763441,0.0003360215053763441,0.0,0.0006720430107526882
main event-held-out,hgb_direct,HGB direct,0.04,5,186,0.0003360215053763441,0.0003360215053763441,0.0,0.0016801075268817205
main event-held-out,hgb_direct,HGB direct,0.04,10,186,0.0003360215053763441,0.0003360215053763441,0.0,0.003360215053763441
main event-held-out,xgb_direct,XGB direct,0.04,25,186,0.0003360215053763441,0.00026881720430107527,0.0013440860215053765,0.008064516129032258
main event-held-out,xgb_direct,XGB direct,0.04,50,186,0.0003360215053763441,0.00026881720430107527,0.0013440860215053765,0.01478494623655914
main event-held-out,pretrained_finetune,MLP finetune,0.04,100,186,0.0003360215053763441,0.0,0.018514784946236557,0.018514784946236557
