model_label,rep,pga_bin,event_id,coverage,rows,pga_g
LGBM direct,0,low PGA,20021023_1127,0.6208333333333333,960,0.0083586211038136
LGBM direct,0,low PGA,20070226_1219,0.6833333333333333,240,0.0087740600359782
LGBM direct,0,low PGA,20080221_1416,0.625,32,0.005358397922053899
LGBM direct,0,mid PGA,20021103_2212,0.478125,960,0.011593917538798
LGBM direct,0,mid PGA,20080430_0303,0.9375,64,0.0088891403885868
LGBM direct,0,high PGA,19990703_1,0.22916666666666666,192,0.019775061405764648
LGBM direct,0,high PGA,20091230_1848,0.6521739130434783,368,0.0850089553085301
LGBM direct,0,high PGA,20120213_2107,0.4090909090909091,176,0.0129244843177444
LGBM direct,1,low PGA,20021023_1127,0.6145833333333334,960,0.0083586211038136
LGBM direct,1,low PGA,20070226_1219,0.65,240,0.0087740600359782
LGBM direct,1,low PGA,20080221_1416,0.375,32,0.005358397922053899
LGBM direct,1,mid PGA,20021103_2212,0.4875,960,0.011593917538798
LGBM direct,1,mid PGA,20080430_0303,0.875,64,0.0088891403885868
LGBM direct,1,high PGA,19990703_1,0.14583333333333334,192,0.019775061405764648
LGBM direct,1,high PGA,20091230_1848,0.6684782608695652,368,0.0850089553085301
LGBM direct,1,high PGA,20120213_2107,0.36363636363636365,176,0.0129244843177444
LGBM direct,2,low PGA,20021023_1127,0.6760416666666667,960,0.0083586211038136
LGBM direct,2,low PGA,20070226_1219,0.6833333333333333,240,0.0087740600359782
LGBM direct,2,low PGA,20080221_1416,0.25,32,0.005358397922053899
LGBM direct,2,mid PGA,20021103_2212,0.48125,960,0.011593917538798
LGBM direct,2,mid PGA,20080430_0303,0.875,64,0.0088891403885868
LGBM direct,2,high PGA,19990703_1,0.25,192,0.019775061405764648
LGBM direct,2,high PGA,20091230_1848,0.6902173913043478,368,0.0850089553085301
LGBM direct,2,high PGA,20120213_2107,0.4431818181818182,176,0.0129244843177444
LGBM direct,3,low PGA,20021023_1127,0.6395833333333333,960,0.0083586211038136
LGBM direct,3,low PGA,20070226_1219,0.675,240,0.0087740600359782
LGBM direct,3,low PGA,20080221_1416,0.5,32,0.005358397922053899
LGBM direct,3,mid PGA,20021103_2212,0.5614583333333333,960,0.011593917538798
LGBM direct,3,mid PGA,20080430_0303,0.9375,64,0.0088891403885868
LGBM direct,3,high PGA,19990703_1,0.25,192,0.019775061405764648
LGBM direct,3,high PGA,20091230_1848,0.6847826086956522,368,0.0850089553085301
LGBM direct,3,high PGA,20120213_2107,0.5795454545454546,176,0.0129244843177444
LGBM direct,4,low PGA,20021023_1127,0.628125,960,0.0083586211038136
LGBM direct,4,low PGA,20070226_1219,0.6666666666666666,240,0.0087740600359782
LGBM direct,4,low PGA,20080221_1416,0.5,32,0.005358397922053899
LGBM direct,4,mid PGA,20021103_2212,0.44166666666666665,960,0.011593917538798
LGBM direct,4,mid PGA,20080430_0303,0.9375,64,0.0088891403885868
LGBM direct,4,high PGA,19990703_1,0.1875,192,0.019775061405764648
LGBM direct,4,high PGA,20091230_1848,0.7282608695652174,368,0.0850089553085301
LGBM direct,4,high PGA,20120213_2107,0.38636363636363635,176,0.0129244843177444
LGBM direct,5,low PGA,20021023_1127,0.6739583333333333,960,0.0083586211038136
LGBM direct,5,low PGA,20070226_1219,0.7,240,0.0087740600359782
LGBM direct,5,low PGA,20080221_1416,0.5,32,0.005358397922053899
LGBM direct,5,mid PGA,20021103_2212,0.5427083333333333,960,0.011593917538798
LGBM direct,5,mid PGA,20080430_0303,0.875,64,0.0088891403885868
LGBM direct,5,high PGA,19990703_1,0.2916666666666667,192,0.019775061405764648
LGBM direct,5,high PGA,20091230_1848,0.6766304347826086,368,0.0850089553085301
LGBM direct,5,high PGA,20120213_2107,0.5,176,0.0129244843177444
LGBM direct,6,low PGA,20021023_1127,0.5645833333333333,960,0.0083586211038136
LGBM direct,6,low PGA,20070226_1219,0.6,240,0.0087740600359782
LGBM direct,6,low PGA,20080221_1416,0.5,32,0.005358397922053899
LGBM direct,6,mid PGA,20021103_2212,0.4395833333333333,960,0.011593917538798
LGBM direct,6,mid PGA,20080430_0303,1.0,64,0.0088891403885868
LGBM direct,6,high PGA,19990703_1,0.21875,192,0.019775061405764648
LGBM direct,6,high PGA,20091230_1848,0.6684782608695652,368,0.0850089553085301
LGBM direct,6,high PGA,20120213_2107,0.4318181818181818,176,0.0129244843177444
LGBM direct,7,low PGA,20021023_1127,0.628125,960,0.0083586211038136
LGBM direct,7,low PGA,20070226_1219,0.7333333333333333,240,0.0087740600359782
LGBM direct,7,low PGA,20080221_1416,0.5,32,0.005358397922053899
LGBM direct,7,mid PGA,20021103_2212,0.496875,960,0.011593917538798
LGBM direct,7,mid PGA,20080430_0303,0.9375,64,0.0088891403885868
LGBM direct,7,high PGA,19990703_1,0.22916666666666666,192,0.019775061405764648
LGBM direct,7,high PGA,20091230_1848,0.6603260869565217,368,0.0850089553085301
LGBM direct,7,high PGA,20120213_2107,0.4318181818181818,176,0.0129244843177444
LGBM direct,8,low PGA,20021023_1127,0.5895833333333333,960,0.0083586211038136
LGBM direct,8,low PGA,20070226_1219,0.6708333333333333,240,0.0087740600359782
LGBM direct,8,low PGA,20080221_1416,0.5,32,0.005358397922053899
LGBM direct,8,mid PGA,20021103_2212,0.45,960,0.011593917538798
LGBM direct,8,mid PGA,20080430_0303,0.875,64,0.0088891403885868
LGBM direct,8,high PGA,19990703_1,0.1875,192,0.019775061405764648
LGBM direct,8,high PGA,20091230_1848,0.6847826086956522,368,0.0850089553085301
LGBM direct,8,high PGA,20120213_2107,0.4090909090909091,176,0.0129244843177444
LGBM direct,9,low PGA,20021023_1127,0.55625,960,0.0083586211038136
LGBM direct,9,low PGA,20070226_1219,0.65,240,0.0087740600359782
LGBM direct,9,low PGA,20080221_1416,0.25,32,0.005358397922053899
LGBM direct,9,mid PGA,20021103_2212,0.4791666666666667,960,0.011593917538798
LGBM direct,9,mid PGA,20080430_0303,0.875,64,0.0088891403885868
LGBM direct,9,high PGA,19990703_1,0.14583333333333334,192,0.019775061405764648
LGBM direct,9,high PGA,20091230_1848,0.6793478260869565,368,0.0850089553085301
LGBM direct,9,high PGA,20120213_2107,0.38636363636363635,176,0.0129244843177444
MLP scratch,0,low PGA,20021023_1127,0.19479166666666667,960,0.0083586211038136
MLP scratch,0,low PGA,20070226_1219,0.7,240,0.0087740600359782
MLP scratch,0,low PGA,20080221_1416,1.0,32,0.005358397922053899
MLP scratch,0,mid PGA,20021103_2212,0.17291666666666666,960,0.011593917538798
MLP scratch,0,mid PGA,20080430_0303,0.875,64,0.0088891403885868
MLP scratch,0,high PGA,19990703_1,0.6927083333333334,192,0.019775061405764648
MLP scratch,0,high PGA,20091230_1848,0.8940217391304348,368,0.0850089553085301
MLP scratch,0,high PGA,20120213_2107,0.5625,176,0.0129244843177444
MLP scratch,1,low PGA,20021023_1127,0.20833333333333334,960,0.0083586211038136
MLP scratch,1,low PGA,20070226_1219,0.7458333333333333,240,0.0087740600359782
MLP scratch,1,low PGA,20080221_1416,0.84375,32,0.005358397922053899
MLP scratch,1,mid PGA,20021103_2212,0.315625,960,0.011593917538798
MLP scratch,1,mid PGA,20080430_0303,0.703125,64,0.0088891403885868
MLP scratch,1,high PGA,19990703_1,0.6458333333333334,192,0.019775061405764648
MLP scratch,1,high PGA,20091230_1848,0.8260869565217391,368,0.0850089553085301
MLP scratch,1,high PGA,20120213_2107,0.5,176,0.0129244843177444
MLP scratch,2,low PGA,20021023_1127,0.25833333333333336,960,0.0083586211038136
MLP scratch,2,low PGA,20070226_1219,0.8208333333333333,240,0.0087740600359782
MLP scratch,2,low PGA,20080221_1416,0.96875,32,0.005358397922053899
MLP scratch,2,mid PGA,20021103_2212,0.284375,960,0.011593917538798
MLP scratch,2,mid PGA,20080430_0303,0.640625,64,0.0088891403885868
MLP scratch,2,high PGA,19990703_1,0.7135416666666666,192,0.019775061405764648
MLP scratch,2,high PGA,20091230_1848,0.8967391304347826,368,0.0850089553085301
MLP scratch,2,high PGA,20120213_2107,0.5056818181818182,176,0.0129244843177444
MLP scratch,3,low PGA,20021023_1127,0.55625,960,0.0083586211038136
MLP scratch,3,low PGA,20070226_1219,0.7458333333333333,240,0.0087740600359782
MLP scratch,3,low PGA,20080221_1416,0.84375,32,0.005358397922053899
MLP scratch,3,mid PGA,20021103_2212,0.7197916666666667,960,0.011593917538798
MLP scratch,3,mid PGA,20080430_0303,0.59375,64,0.0088891403885868
MLP scratch,3,high PGA,19990703_1,0.6145833333333334,192,0.019775061405764648
MLP scratch,3,high PGA,20091230_1848,0.8940217391304348,368,0.0850089553085301
MLP scratch,3,high PGA,20120213_2107,0.4375,176,0.0129244843177444
MLP scratch,4,low PGA,20021023_1127,0.22291666666666668,960,0.0083586211038136
MLP scratch,4,low PGA,20070226_1219,0.825,240,0.0087740600359782
MLP scratch,4,low PGA,20080221_1416,1.0,32,0.005358397922053899
MLP scratch,4,mid PGA,20021103_2212,0.23541666666666666,960,0.011593917538798
MLP scratch,4,mid PGA,20080430_0303,0.671875,64,0.0088891403885868
MLP scratch,4,high PGA,19990703_1,0.5416666666666666,192,0.019775061405764648
MLP scratch,4,high PGA,20091230_1848,0.8967391304347826,368,0.0850089553085301
MLP scratch,4,high PGA,20120213_2107,0.5284090909090909,176,0.0129244843177444
MLP scratch,5,low PGA,20021023_1127,0.24791666666666667,960,0.0083586211038136
MLP scratch,5,low PGA,20070226_1219,0.7958333333333333,240,0.0087740600359782
MLP scratch,5,low PGA,20080221_1416,1.0,32,0.005358397922053899
MLP scratch,5,mid PGA,20021103_2212,0.37083333333333335,960,0.011593917538798
MLP scratch,5,mid PGA,20080430_0303,0.71875,64,0.0088891403885868
MLP scratch,5,high PGA,19990703_1,0.5416666666666666,192,0.019775061405764648
MLP scratch,5,high PGA,20091230_1848,0.8396739130434783,368,0.0850089553085301
MLP scratch,5,high PGA,20120213_2107,0.5056818181818182,176,0.0129244843177444
MLP scratch,6,low PGA,20021023_1127,0.1875,960,0.0083586211038136
MLP scratch,6,low PGA,20070226_1219,0.85,240,0.0087740600359782
MLP scratch,6,low PGA,20080221_1416,0.9375,32,0.005358397922053899
MLP scratch,6,mid PGA,20021103_2212,0.28958333333333336,960,0.011593917538798
MLP scratch,6,mid PGA,20080430_0303,0.859375,64,0.0088891403885868
MLP scratch,6,high PGA,19990703_1,0.7083333333333334,192,0.019775061405764648
MLP scratch,6,high PGA,20091230_1848,0.8532608695652174,368,0.0850089553085301
MLP scratch,6,high PGA,20120213_2107,0.5909090909090909,176,0.0129244843177444
MLP scratch,7,low PGA,20021023_1127,0.20625,960,0.0083586211038136
MLP scratch,7,low PGA,20070226_1219,0.8041666666666667,240,0.0087740600359782
MLP scratch,7,low PGA,20080221_1416,0.90625,32,0.005358397922053899
MLP scratch,7,mid PGA,20021103_2212,0.253125,960,0.011593917538798
MLP scratch,7,mid PGA,20080430_0303,0.578125,64,0.0088891403885868
MLP scratch,7,high PGA,19990703_1,0.6354166666666666,192,0.019775061405764648
MLP scratch,7,high PGA,20091230_1848,0.8233695652173914,368,0.0850089553085301
MLP scratch,7,high PGA,20120213_2107,0.4318181818181818,176,0.0129244843177444
MLP scratch,8,low PGA,20021023_1127,0.21979166666666666,960,0.0083586211038136
MLP scratch,8,low PGA,20070226_1219,0.8791666666666667,240,0.0087740600359782
MLP scratch,8,low PGA,20080221_1416,1.0,32,0.005358397922053899
MLP scratch,8,mid PGA,20021103_2212,0.3125,960,0.011593917538798
MLP scratch,8,mid PGA,20080430_0303,0.953125,64,0.0088891403885868
MLP scratch,8,high PGA,19990703_1,0.7447916666666666,192,0.019775061405764648
MLP scratch,8,high PGA,20091230_1848,0.8288043478260869,368,0.0850089553085301
MLP scratch,8,high PGA,20120213_2107,0.6363636363636364,176,0.0129244843177444
MLP scratch,9,low PGA,20021023_1127,0.521875,960,0.0083586211038136
MLP scratch,9,low PGA,20070226_1219,0.8041666666666667,240,0.0087740600359782
MLP scratch,9,low PGA,20080221_1416,1.0,32,0.005358397922053899
MLP scratch,9,mid PGA,20021103_2212,0.703125,960,0.011593917538798
MLP scratch,9,mid PGA,20080430_0303,0.703125,64,0.0088891403885868
MLP scratch,9,high PGA,19990703_1,0.6875,192,0.019775061405764648
MLP scratch,9,high PGA,20091230_1848,0.875,368,0.0850089553085301
MLP scratch,9,high PGA,20120213_2107,0.5227272727272727,176,0.0129244843177444
Ridge direct,0,low PGA,20021023_1127,0.09583333333333334,960,0.0083586211038136
Ridge direct,0,low PGA,20070226_1219,0.45,240,0.0087740600359782
Ridge direct,0,low PGA,20080221_1416,0.6875,32,0.005358397922053899
Ridge direct,0,mid PGA,20021103_2212,0.5604166666666667,960,0.011593917538798
Ridge direct,0,mid PGA,20080430_0303,0.25,64,0.0088891403885868
Ridge direct,0,high PGA,19990703_1,0.5989583333333334,192,0.019775061405764648
Ridge direct,0,high PGA,20091230_1848,0.8070652173913043,368,0.0850089553085301
Ridge direct,0,high PGA,20120213_2107,0.22727272727272727,176,0.0129244843177444
Ridge direct,1,low PGA,20021023_1127,0.1125,960,0.0083586211038136
Ridge direct,1,low PGA,20070226_1219,0.45,240,0.0087740600359782
Ridge direct,1,low PGA,20080221_1416,0.8125,32,0.005358397922053899
Ridge direct,1,mid PGA,20021103_2212,0.5760416666666667,960,0.011593917538798
Ridge direct,1,mid PGA,20080430_0303,0.3125,64,0.0088891403885868
Ridge direct,1,high PGA,19990703_1,0.6041666666666666,192,0.019775061405764648
Ridge direct,1,high PGA,20091230_1848,0.8206521739130435,368,0.0850089553085301
Ridge direct,1,high PGA,20120213_2107,0.24431818181818182,176,0.0129244843177444
Ridge direct,2,low PGA,20021023_1127,0.11458333333333333,960,0.0083586211038136
Ridge direct,2,low PGA,20070226_1219,0.45,240,0.0087740600359782
Ridge direct,2,low PGA,20080221_1416,0.875,32,0.005358397922053899
Ridge direct,2,mid PGA,20021103_2212,0.5614583333333333,960,0.011593917538798
Ridge direct,2,mid PGA,20080430_0303,0.3125,64,0.0088891403885868
Ridge direct,2,high PGA,19990703_1,0.5885416666666666,192,0.019775061405764648
Ridge direct,2,high PGA,20091230_1848,0.8206521739130435,368,0.0850089553085301
Ridge direct,2,high PGA,20120213_2107,0.21022727272727273,176,0.0129244843177444
Ridge direct,3,low PGA,20021023_1127,0.14479166666666668,960,0.0083586211038136
Ridge direct,3,low PGA,20070226_1219,0.4666666666666667,240,0.0087740600359782
Ridge direct,3,low PGA,20080221_1416,0.84375,32,0.005358397922053899
Ridge direct,3,mid PGA,20021103_2212,0.5635416666666667,960,0.011593917538798
Ridge direct,3,mid PGA,20080430_0303,0.3125,64,0.0088891403885868
Ridge direct,3,high PGA,19990703_1,0.5989583333333334,192,0.019775061405764648
Ridge direct,3,high PGA,20091230_1848,0.8586956521739131,368,0.0850089553085301
Ridge direct,3,high PGA,20120213_2107,0.2556818181818182,176,0.0129244843177444
Ridge direct,4,low PGA,20021023_1127,0.1375,960,0.0083586211038136
Ridge direct,4,low PGA,20070226_1219,0.4625,240,0.0087740600359782
Ridge direct,4,low PGA,20080221_1416,0.875,32,0.005358397922053899
Ridge direct,4,mid PGA,20021103_2212,0.6125,960,0.011593917538798
Ridge direct,4,mid PGA,20080430_0303,0.3125,64,0.0088891403885868
Ridge direct,4,high PGA,19990703_1,0.6197916666666666,192,0.019775061405764648
Ridge direct,4,high PGA,20091230_1848,0.8478260869565217,368,0.0850089553085301
Ridge direct,4,high PGA,20120213_2107,0.23863636363636365,176,0.0129244843177444
Ridge direct,5,low PGA,20021023_1127,0.10625,960,0.0083586211038136
Ridge direct,5,low PGA,20070226_1219,0.45,240,0.0087740600359782
Ridge direct,5,low PGA,20080221_1416,0.5,32,0.005358397922053899
Ridge direct,5,mid PGA,20021103_2212,0.525,960,0.011593917538798
Ridge direct,5,mid PGA,20080430_0303,0.3125,64,0.0088891403885868
Ridge direct,5,high PGA,19990703_1,0.5833333333333334,192,0.019775061405764648
Ridge direct,5,high PGA,20091230_1848,0.842391304347826,368,0.0850089553085301
Ridge direct,5,high PGA,20120213_2107,0.25,176,0.0129244843177444
Ridge direct,6,low PGA,20021023_1127,0.209375,960,0.0083586211038136
Ridge direct,6,low PGA,20070226_1219,0.4583333333333333,240,0.0087740600359782
Ridge direct,6,low PGA,20080221_1416,0.90625,32,0.005358397922053899
Ridge direct,6,mid PGA,20021103_2212,0.6916666666666667,960,0.011593917538798
Ridge direct,6,mid PGA,20080430_0303,0.3125,64,0.0088891403885868
Ridge direct,6,high PGA,19990703_1,0.6302083333333334,192,0.019775061405764648
Ridge direct,6,high PGA,20091230_1848,0.8233695652173914,368,0.0850089553085301
Ridge direct,6,high PGA,20120213_2107,0.2727272727272727,176,0.0129244843177444
Ridge direct,7,low PGA,20021023_1127,0.12083333333333333,960,0.0083586211038136
Ridge direct,7,low PGA,20070226_1219,0.49583333333333335,240,0.0087740600359782
Ridge direct,7,low PGA,20080221_1416,0.875,32,0.005358397922053899
Ridge direct,7,mid PGA,20021103_2212,0.571875,960,0.011593917538798
Ridge direct,7,mid PGA,20080430_0303,0.3125,64,0.0088891403885868
Ridge direct,7,high PGA,19990703_1,0.6197916666666666,192,0.019775061405764648
Ridge direct,7,high PGA,20091230_1848,0.9320652173913043,368,0.0850089553085301
Ridge direct,7,high PGA,20120213_2107,0.25,176,0.0129244843177444
Ridge direct,8,low PGA,20021023_1127,0.14166666666666666,960,0.0083586211038136
Ridge direct,8,low PGA,20070226_1219,0.475,240,0.0087740600359782
Ridge direct,8,low PGA,20080221_1416,0.9375,32,0.005358397922053899
Ridge direct,8,mid PGA,20021103_2212,0.6666666666666666,960,0.011593917538798
Ridge direct,8,mid PGA,20080430_0303,0.3125,64,0.0088891403885868
Ridge direct,8,high PGA,19990703_1,0.6458333333333334,192,0.019775061405764648
Ridge direct,8,high PGA,20091230_1848,0.8070652173913043,368,0.0850089553085301
Ridge direct,8,high PGA,20120213_2107,0.26136363636363635,176,0.0129244843177444
Ridge direct,9,low PGA,20021023_1127,0.14166666666666666,960,0.0083586211038136
Ridge direct,9,low PGA,20070226_1219,0.5,240,0.0087740600359782
Ridge direct,9,low PGA,20080221_1416,0.875,32,0.005358397922053899
Ridge direct,9,mid PGA,20021103_2212,0.5864583333333333,960,0.011593917538798
Ridge direct,9,mid PGA,20080430_0303,0.3125,64,0.0088891403885868
Ridge direct,9,high PGA,19990703_1,0.6458333333333334,192,0.019775061405764648
Ridge direct,9,high PGA,20091230_1848,0.8152173913043478,368,0.0850089553085301
Ridge direct,9,high PGA,20120213_2107,0.26704545454545453,176,0.0129244843177444
XGB direct,0,low PGA,20021023_1127,0.50625,960,0.0083586211038136
XGB direct,0,low PGA,20070226_1219,0.6166666666666667,240,0.0087740600359782
XGB direct,0,low PGA,20080221_1416,0.375,32,0.005358397922053899
XGB direct,0,mid PGA,20021103_2212,0.37916666666666665,960,0.011593917538798
XGB direct,0,mid PGA,20080430_0303,0.875,64,0.0088891403885868
XGB direct,0,high PGA,19990703_1,0.20833333333333334,192,0.019775061405764648
XGB direct,0,high PGA,20091230_1848,0.6385869565217391,368,0.0850089553085301
XGB direct,0,high PGA,20120213_2107,0.48863636363636365,176,0.0129244843177444
XGB direct,1,low PGA,20021023_1127,0.5114583333333333,960,0.0083586211038136
XGB direct,1,low PGA,20070226_1219,0.5666666666666667,240,0.0087740600359782
XGB direct,1,low PGA,20080221_1416,0.375,32,0.005358397922053899
XGB direct,1,mid PGA,20021103_2212,0.47291666666666665,960,0.011593917538798
XGB direct,1,mid PGA,20080430_0303,1.0,64,0.0088891403885868
XGB direct,1,high PGA,19990703_1,0.20833333333333334,192,0.019775061405764648
XGB direct,1,high PGA,20091230_1848,0.6195652173913043,368,0.0850089553085301
XGB direct,1,high PGA,20120213_2107,0.4090909090909091,176,0.0129244843177444
XGB direct,2,low PGA,20021023_1127,0.45208333333333334,960,0.0083586211038136
XGB direct,2,low PGA,20070226_1219,0.65,240,0.0087740600359782
XGB direct,2,low PGA,20080221_1416,0.375,32,0.005358397922053899
XGB direct,2,mid PGA,20021103_2212,0.42604166666666665,960,0.011593917538798
XGB direct,2,mid PGA,20080430_0303,0.875,64,0.0088891403885868
XGB direct,2,high PGA,19990703_1,0.22916666666666666,192,0.019775061405764648
XGB direct,2,high PGA,20091230_1848,0.6331521739130435,368,0.0850089553085301
XGB direct,2,high PGA,20120213_2107,0.375,176,0.0129244843177444
XGB direct,3,low PGA,20021023_1127,0.49375,960,0.0083586211038136
XGB direct,3,low PGA,20070226_1219,0.6,240,0.0087740600359782
XGB direct,3,low PGA,20080221_1416,0.5,32,0.005358397922053899
XGB direct,3,mid PGA,20021103_2212,0.4875,960,0.011593917538798
XGB direct,3,mid PGA,20080430_0303,0.875,64,0.0088891403885868
XGB direct,3,high PGA,19990703_1,0.20833333333333334,192,0.019775061405764648
XGB direct,3,high PGA,20091230_1848,0.6521739130434783,368,0.0850089553085301
XGB direct,3,high PGA,20120213_2107,0.38636363636363635,176,0.0129244843177444
XGB direct,4,low PGA,20021023_1127,0.546875,960,0.0083586211038136
XGB direct,4,low PGA,20070226_1219,0.6333333333333333,240,0.0087740600359782
XGB direct,4,low PGA,20080221_1416,0.5,32,0.005358397922053899
XGB direct,4,mid PGA,20021103_2212,0.42916666666666664,960,0.011593917538798
XGB direct,4,mid PGA,20080430_0303,0.9375,64,0.0088891403885868
XGB direct,4,high PGA,19990703_1,0.2708333333333333,192,0.019775061405764648
XGB direct,4,high PGA,20091230_1848,0.6956521739130435,368,0.0850089553085301
XGB direct,4,high PGA,20120213_2107,0.4772727272727273,176,0.0129244843177444
XGB direct,5,low PGA,20021023_1127,0.5239583333333333,960,0.0083586211038136
XGB direct,5,low PGA,20070226_1219,0.6666666666666666,240,0.0087740600359782
XGB direct,5,low PGA,20080221_1416,0.5,32,0.005358397922053899
XGB direct,5,mid PGA,20021103_2212,0.48333333333333334,960,0.011593917538798
XGB direct,5,mid PGA,20080430_0303,0.875,64,0.0088891403885868
XGB direct,5,high PGA,19990703_1,0.3333333333333333,192,0.019775061405764648
XGB direct,5,high PGA,20091230_1848,0.6929347826086957,368,0.0850089553085301
XGB direct,5,high PGA,20120213_2107,0.5113636363636364,176,0.0129244843177444
XGB direct,6,low PGA,20021023_1127,0.5708333333333333,960,0.0083586211038136
XGB direct,6,low PGA,20070226_1219,0.6666666666666666,240,0.0087740600359782
XGB direct,6,low PGA,20080221_1416,0.375,32,0.005358397922053899
XGB direct,6,mid PGA,20021103_2212,0.4010416666666667,960,0.011593917538798
XGB direct,6,mid PGA,20080430_0303,1.0,64,0.0088891403885868
XGB direct,6,high PGA,19990703_1,0.22916666666666666,192,0.019775061405764648
XGB direct,6,high PGA,20091230_1848,0.6603260869565217,368,0.0850089553085301
XGB direct,6,high PGA,20120213_2107,0.42045454545454547,176,0.0129244843177444
XGB direct,7,low PGA,20021023_1127,0.509375,960,0.0083586211038136
XGB direct,7,low PGA,20070226_1219,0.6083333333333333,240,0.0087740600359782
XGB direct,7,low PGA,20080221_1416,0.5,32,0.005358397922053899
XGB direct,7,mid PGA,20021103_2212,0.46041666666666664,960,0.011593917538798
XGB direct,7,mid PGA,20080430_0303,0.875,64,0.0088891403885868
XGB direct,7,high PGA,19990703_1,0.25,192,0.019775061405764648
XGB direct,7,high PGA,20091230_1848,0.6440217391304348,368,0.0850089553085301
XGB direct,7,high PGA,20120213_2107,0.42045454545454547,176,0.0129244843177444
XGB direct,8,low PGA,20021023_1127,0.47604166666666664,960,0.0083586211038136
XGB direct,8,low PGA,20070226_1219,0.6,240,0.0087740600359782
XGB direct,8,low PGA,20080221_1416,0.5,32,0.005358397922053899
XGB direct,8,mid PGA,20021103_2212,0.325,960,0.011593917538798
XGB direct,8,mid PGA,20080430_0303,0.8125,64,0.0088891403885868
XGB direct,8,high PGA,19990703_1,0.16666666666666666,192,0.019775061405764648
XGB direct,8,high PGA,20091230_1848,0.595108695652174,368,0.0850089553085301
XGB direct,8,high PGA,20120213_2107,0.36363636363636365,176,0.0129244843177444
XGB direct,9,low PGA,20021023_1127,0.453125,960,0.0083586211038136
XGB direct,9,low PGA,20070226_1219,0.6166666666666667,240,0.0087740600359782
XGB direct,9,low PGA,20080221_1416,0.25,32,0.005358397922053899
XGB direct,9,mid PGA,20021103_2212,0.40625,960,0.011593917538798
XGB direct,9,mid PGA,20080430_0303,1.0,64,0.0088891403885868
XGB direct,9,high PGA,19990703_1,0.1875,192,0.019775061405764648
XGB direct,9,high PGA,20091230_1848,0.6385869565217391,368,0.0850089553085301
XGB direct,9,high PGA,20120213_2107,0.375,176,0.0129244843177444
